Date,open,high,low,close,volume,pct_chg,swing,turn,BIAS,RSI,DMA
2000/5/23,1834.436,1836.992,1811.577,1832.075,1246957100,0.4022,1.3928,2.2299,4.4212,74.0112,29.2104
2000/5/24,1835.563,1861.484,1831.842,1855.493,1586843900,1.2782,1.6179,2.6428,5.1399,78.7399,44.949
2000/5/25,1866.563,1880.719,1860.779,1880.704,1680941900,1.3587,1.0746,3.0075,5.6308,82.7862,53.7168
2000/5/26,1885.752,1890.686,1860.919,1879.617,2068925600,-0.0578,1.5828,3.0608,4.6353,81.9789,58.1737
2000/5/29,1885.546,1900.674,1882.742,1898.748,1804426200,1.0178,0.954,3.064,4.57,85.0564,53.56
2000/5/30,1903.53,1908.306,1868.61,1877.471,1651899000,-1.1206,2.0906,2.7803,2.5346,69.269,47.3459
2000/5/31,1875.463,1894.583,1869.338,1894.554,1576923500,0.9099,1.3446,2.6912,2.5205,73.9309,38.2425
2000/6/1,1900.533,1906.817,1889.995,1903.488,1465458300,0.4716,0.8879,2.603,2.2023,76.197,28.3042
2000/6/2,1906.162,1916.25,1897.713,1916.25,1784035200,0.6705,0.9738,3.1407,2.1285,79.2839,21.7886
2000/6/5,1921.969,1930.335,1889.815,1899.092,2921753600,-0.8954,2.1145,4.0208,0.8145,65.5658,14.4218
2000/6/6,1898.591,1925.552,1891.665,1925.544,1719005100,1.3929,1.7844,2.8184,1.714,73.9154,14.6895
2000/6/7,1934.376,1940.22,1921.383,1935.031,1557941700,0.4927,0.9783,2.6717,1.7875,76.3803,14.8311
2000/6/8,1937.195,1938.554,1913.365,1925.206,1632980400,-0.5077,1.3017,2.5937,1.0342,68.3532,14.7245
2000/6/9,1926.15,1929.946,1896.061,1900.787,1493337000,-1.2684,1.7601,2.5075,-0.358,52.0413,9.5149
2000/6/12,1896.428,1912.589,1884.616,1912.557,1204009400,0.6192,1.4717,2.1132,0.1864,57.8581,10.827
2000/6/13,1918.192,1938.674,1917.19,1938.674,1442765300,1.3656,1.1233,2.3659,1.23,68.1458,7.3327
2000/6/14,1944.44,1949.171,1929.706,1932.29,1615631700,-0.3293,1.004,2.8213,0.6982,63.5922,3.0109
2000/6/15,1933.059,1942.326,1925.914,1942.285,1411676000,0.5173,0.8494,2.3049,1.0149,67.6531,2.547
2000/6/16,1945.698,1947.463,1919.403,1926.944,1470755200,-0.7898,1.4447,2.403,0.1613,56.1233,6.709
2000/6/19,1924.693,1926.981,1910.469,1915.205,1188112600,-0.6092,0.8569,2.0072,-0.5322,48.5288,5.6273
2000/6/20,1913.074,1913.074,1888.082,1895.348,1013609600,-1.0368,1.3049,1.6405,-1.4089,38.0716,-0.0183
2000/6/21,1894.779,1913.147,1894.634,1913.131,834891100,0.9382,0.9768,1.3672,-0.3704,49.7161,-1.6601
2000/6/22,1918.164,1921.148,1906.304,1913.901,905959200,0.0402,0.7759,1.4473,-0.2715,50.2026,-6.2064
2000/6/23,1915.307,1939.634,1913.65,1939.627,1199891800,1.3442,1.3576,2.0041,0.8648,64.1207,-7.5538
2000/6/26,1946.698,1953.339,1943.248,1948.639,1406804400,0.4646,0.5203,2.4236,1.1437,67.893,-4.4752
2000/6/27,1949.778,1952.455,1938.135,1942.898,1198004700,-0.2946,0.7349,2.0711,0.8236,62.8422,4.6124
2000/6/28,1943.984,1953.064,1940.054,1947.481,1123954100,0.2359,0.6696,1.9425,0.9818,65.3141,9.9633
2000/6/29,1949.847,1951.126,1924.473,1937.261,1191984200,-0.5248,1.3686,1.9673,0.4781,55.4441,15.1377
2000/6/30,1937.843,1941.402,1924.969,1928.106,1246757800,-0.4726,0.8483,2.0325,-0.0028,47.6962,12.7173
2000/7/3,1917.442,1917.447,1890.528,1895.637,1578473600,-1.684,1.3961,2.0045,-1.5868,29.9086,4.0737
2000/7/4,1891.205,1907.944,1888.249,1907.931,1440782000,0.6485,1.039,1.3709,-1.0133,40.0646,-4.178
2000/7/5,1910.42,1918.909,1904.468,1909.187,1302943400,0.0658,0.7569,1.2646,-0.9278,41.1107,-11.4424
2000/7/6,1909.237,1910.054,1896.659,1902.552,993114100,-0.3475,0.7016,1.2985,-1.214,37.0153,-17.2493
2000/7/7,1904.085,1932.829,1904.085,1932.792,1168290400,1.5894,1.5108,1.7764,0.3918,59.2289,-15.6286
2000/7/10,1938.843,1948.063,1932.955,1948.021,1452462500,0.7879,0.7817,2.4124,1.1861,66.392,-5.09
2000/7/11,1952.259,1960.595,1947.666,1960.541,1443839200,0.6427,0.6637,2.3857,1.7432,71.3566,3.6677
2000/7/12,1965.231,1974.414,1960.349,1973.374,1391952500,0.6546,0.7174,2.3969,2.2717,75.7608,13.9158
2000/7/13,1978.552,1984.066,1963.553,1979.201,1816211300,0.2953,1.0395,3.0102,2.3512,77.6346,25.0516
2000/7/14,1981.776,1987.223,1972.622,1987.192,1621586000,0.4037,0.7377,2.5767,2.4514,80.1587,30.023
2000/7/17,1992.894,1997.938,1980.223,1982.479,1350878700,-0.2372,0.8915,2.6812,1.7529,74.2296,28.2304
2000/7/18,1982.497,1993.994,1981.736,1993.986,878002300,0.5804,0.6183,1.7083,1.8934,78.8196,26.3139
2000/7/19,2000.33,2004.461,1987.42,1998.426,970837300,0.2227,0.8546,1.9086,1.6568,80.4333,22.4004
2000/7/20,1999.089,2003.802,1979.875,1991.56,928287700,-0.3436,1.1973,1.803,0.8509,70.4704,15.9714
2000/7/21,1994.423,1998.347,1991.838,1996.336,859313900,0.2398,0.3268,1.6527,0.7685,73.2374,11.4458
2000/7/24,1998.245,1999.903,1982.881,1989.239,927517800,-0.3555,0.8527,1.8293,0.2018,62.7521,8.676
2000/7/25,1990.149,1997.849,1989.086,1996.577,875170100,0.3689,0.4405,1.6611,0.3892,68.3706,5.5906
2000/7/26,1999.442,2012.395,1999.403,2012.319,951206800,0.7884,0.6507,1.8225,0.9829,77.2175,4.4747
2000/7/27,2017.457,2024.998,2004.549,2012.35,1198327300,0.0015,1.0162,2.2893,0.8168,77.2325,5.3178
2000/7/28,2014.113,2016.94,2006.172,2012.793,1094381500,0.022,0.5351,2.1328,0.7098,77.4875,6.0491
2000/7/31,2016.144,2023.568,2008.637,2023.539,1230729200,0.5339,0.7418,2.3759,1.0399,83.0226,8.8031
2000/8/1,2027.013,2031.925,2023.453,2028.151,902065500,0.2279,0.4187,1.718,1.0977,84.9307,11.7014
2000/8/2,2030.789,2033.191,2018.481,2030.683,897428600,0.1248,0.7253,1.7301,1.0615,85.9696,12.1485
2000/8/3,2032.937,2038.654,2030.101,2036.301,1097299000,0.2767,0.4212,2.0678,1.1159,88.1456,12.4646
2000/8/4,2037.468,2041.283,2013.45,2026.361,1173918600,-0.4881,1.3668,2.1891,0.4725,66.3106,12.1757
2000/8/7,2025.182,2039.419,2017.903,2039.419,1071271400,0.6444,1.0618,1.9633,0.869,75.7718,10.3337
2000/8/8,2042.745,2050.073,2040.783,2049.916,1086461200,0.5147,0.4555,1.9391,1.1214,80.9363,9.3528
2000/8/9,2051.654,2061.284,2048.494,2061.18,1226967100,0.5495,0.6239,2.2185,1.4326,85.042,10.5661
2000/8/10,2065.305,2067.745,2053.861,2065.943,1322559300,0.2311,0.6736,2.4888,1.3995,86.5156,11.1352
2000/8/11,2067.784,2070.298,2055.2,2062.666,1136176000,-0.1586,0.7308,2.0969,0.9915,80.008,13.4089
2000/8/14,2065.935,2076.328,2065.935,2076.3,1080668500,0.661,0.5039,1.9706,1.3971,85.4661,15.509
2000/8/15,2079.069,2082.736,2066.16,2076.823,1034044800,0.0252,0.7983,1.8488,1.1821,85.6465,16.0232
2000/8/16,2078.485,2083.467,2072.984,2083.467,1064598200,0.3199,0.5048,1.9241,1.2455,87.9301,15.2022
2000/8/17,2086.809,2092.329,2086.559,2091.586,1111404800,0.3897,0.2769,1.9928,1.3677,90.2134,14.8023
2000/8/18,2093.632,2097.315,2086.754,2090.183,1034095500,-0.0671,0.5049,1.8745,0.9873,86.8081,13.9235
2000/8/21,2095.378,2108.879,2093.418,2108.69,1351556100,0.8854,0.7397,2.4763,1.5416,91.7422,13.4744
2000/8/22,2112.017,2114.522,2074.52,2074.703,1316762200,-1.6118,1.897,2.3146,-0.2141,50.2905,10.5717
2000/8/23,2064.045,2080.144,1980.345,2057.919,1889864800,-0.809,4.8103,3.4215,-1.0058,39.669,5.7882
2000/8/24,2058.529,2073.947,2043.206,2071.161,1374608400,0.6435,1.4938,2.4292,-0.3938,49.7224,1.1814
2000/8/25,2073.715,2086.721,2066.329,2086.703,1023534200,0.7504,0.9846,1.8337,0.2378,59.2794,-1.9183
2000/8/28,2092.122,2100.7,2085.601,2100.585,1121621900,0.6653,0.7236,2.0824,0.787,66.1716,-5.9678
2000/8/29,2103.033,2105.634,2094.609,2105.476,1003861200,0.2328,0.5249,1.8628,0.883,68.4307,-2.6785
2000/8/30,2107.019,2108.097,2075.16,2076.143,1004270200,-1.3932,1.5643,1.9107,-0.4876,46.2179,1.6987
2000/8/31,2062.835,2064.76,2019.447,2021.199,1122430800,-2.6464,2.1826,2.0668,-2.7931,26.7214,-1.255
2000/9/1,2009.151,2026.351,1997.717,1999.859,931539000,-1.0558,1.4167,1.6826,-3.3998,22.331,-9.5914
2000/9/4,1994.885,2010.602,1981.229,2010.602,763882000,0.5372,1.4688,1.404,-2.4186,29.3441,-17.7792
2000/9/5,2015.062,2020.847,1959.592,1963.792,717958300,-2.3282,3.0466,1.3022,-4.1746,19.9331,-35.0249
2000/9/6,1955.499,1964.265,1923.598,1925.907,720582700,-1.9292,2.0708,1.3332,-5.4139,15.199,-51.8709
2000/9/7,1929.296,1963.228,1929.296,1950.663,624957200,1.2854,1.7619,1.1246,-3.6278,28.5124,-53.9283
2000/9/8,1955.153,1963.891,1945.918,1959.312,572772000,0.4434,0.9214,1.0227,-2.5874,32.9271,-49.2986
2000/9/11,1963.271,1972.076,1956.078,1972.043,616319800,0.6498,0.8165,1.1233,-1.3238,39.5239,-44.1562
